date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:25:30	27440/27440	---M--	200	added ('OK')	font/woff	date:Thu,%2016%20Sep%202021%2009:20:05%20GMT	https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/fonts/Butler_Bold.woff	E:/AstroGuru/AstroGuru/learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/fonts/Butler_Bold.woff	(from https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/css/custom-purav.css)
01:25:30	29388/29388	---M--	200	added ('OK')	font/woff	date:Thu,%2016%20Sep%202021%2009:20:05%20GMT	https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/fonts/Butler_ExtraBold.woff	E:/AstroGuru/AstroGuru/learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/fonts/Butler_ExtraBold.woff	(from https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/css/custom-purav.css)
01:25:30	28044/28044	---M--	200	added ('OK')	font/woff	date:Thu,%2016%20Sep%202021%2009:20:05%20GMT	https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/fonts/Butler_Black.woff	E:/AstroGuru/AstroGuru/learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/fonts/Butler_Black.woff	(from https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/css/custom-purav.css)
01:25:31	43777/43777	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2003%20Jul%202022%2019:55:30%20GMT	https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/fonts/Tahu!.ttf	E:/AstroGuru/AstroGuru/learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/fonts/Tahu!.ttf	(from https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/css/custom-purav.css)
01:25:32	30427/30427	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Sep%202021%2009:20:05%20GMT	https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/img/mobile_headerbg.jpg	E:/AstroGuru/AstroGuru/learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/img/mobile_headerbg.jpg	(from https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/css/custom-purav.css)
01:25:32	36495/36495	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Sep%202021%2009:20:05%20GMT	https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/img/footer_desktop.png	E:/AstroGuru/AstroGuru/learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/img/footer_desktop.png	(from https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/css/custom-purav.css)
01:25:32	89329/89329	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Dec%202021%2005:27:49%20GMT	https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/img/bg-card.png	E:/AstroGuru/AstroGuru/learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/img/bg-card.png	(from https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/css/custom-purav.css)
01:25:33	43777/43777	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2003%20Jul%202022%2019:55:32%20GMT	https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/fonts/Butler_Medium.woff2	E:/AstroGuru/AstroGuru/learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/fonts/Butler_Medium.woff2	(from https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/css/custom-vijay.css)
01:25:33	43777/43777	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2003%20Jul%202022%2019:55:33%20GMT	https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/fonts/Butler_Light.woff2	E:/AstroGuru/AstroGuru/learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/fonts/Butler_Light.woff2	(from https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/css/custom-vijay.css)
01:25:34	43777/43777	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2003%20Jul%202022%2019:55:34%20GMT	https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/fonts/Butler_Black.woff2	E:/AstroGuru/AstroGuru/learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/fonts/Butler_Black.woff2	(from https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/css/custom-vijay.css)
